f_blood,f_fat,f_water,f_mel,f_col,SO2,total_ratio,count
1.0,0.0,0.0,0.0,0.0,0.9677744742592874,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8954190216336674,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8737569733882503,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9982310345737275,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9430364945163886,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8522809681451332,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9297636736798685,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8334216798252844,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9307594131733626,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9837401749995005,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9376818155683713,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9596046992372246,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9933436048840568,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.998215121318937,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8493421360498628,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9895240963962832,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9562972832504864,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8400508877712267,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8602726234518779,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8169692166324362,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9312546290986704,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.820876432221974,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9785317428495474,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.979702812868897,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8275466095293651,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8651419736151538,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.9497356636788264,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8104773664480457,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.8021593103287703,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.854195545826964,1.0,1.0
