skin,fat,muscle,ijv,cca
28.0,23.0,9.0,32.0,32.0
28.0,23.0,9.0,28.4,28.4
28.0,23.0,9.0,24.8,24.8
28.0,23.0,7.0,32.0,32.0
28.0,23.0,7.0,28.4,28.4
28.0,23.0,7.0,24.8,24.8
28.0,23.0,5.0,32.0,32.0
28.0,23.0,5.0,28.4,28.4
28.0,23.0,5.0,24.8,24.8
28.0,20.11111111111111,9.0,32.0,32.0
28.0,20.11111111111111,9.0,28.4,28.4
28.0,20.11111111111111,9.0,24.8,24.8
28.0,20.11111111111111,7.0,32.0,32.0
28.0,20.11111111111111,7.0,28.4,28.4
28.0,20.11111111111111,7.0,24.8,24.8
28.0,20.11111111111111,5.0,32.0,32.0
28.0,20.11111111111111,5.0,28.4,28.4
28.0,20.11111111111111,5.0,24.8,24.8
28.0,17.22222222222222,9.0,32.0,32.0
28.0,17.22222222222222,9.0,28.4,28.4
28.0,17.22222222222222,9.0,24.8,24.8
28.0,17.22222222222222,7.0,32.0,32.0
28.0,17.22222222222222,7.0,28.4,28.4
28.0,17.22222222222222,7.0,24.8,24.8
28.0,17.22222222222222,5.0,32.0,32.0
28.0,17.22222222222222,5.0,28.4,28.4
28.0,17.22222222222222,5.0,24.8,24.8
28.0,14.333333333333334,9.0,32.0,32.0
28.0,14.333333333333334,9.0,28.4,28.4
28.0,14.333333333333334,9.0,24.8,24.8
28.0,14.333333333333334,7.0,32.0,32.0
28.0,14.333333333333334,7.0,28.4,28.4
28.0,14.333333333333334,7.0,24.8,24.8
28.0,14.333333333333334,5.0,32.0,32.0
28.0,14.333333333333334,5.0,28.4,28.4
28.0,14.333333333333334,5.0,24.8,24.8
28.0,11.444444444444445,9.0,32.0,32.0
28.0,11.444444444444445,9.0,28.4,28.4
28.0,11.444444444444445,9.0,24.8,24.8
28.0,11.444444444444445,7.0,32.0,32.0
28.0,11.444444444444445,7.0,28.4,28.4
28.0,11.444444444444445,7.0,24.8,24.8
28.0,11.444444444444445,5.0,32.0,32.0
28.0,11.444444444444445,5.0,28.4,28.4
28.0,11.444444444444445,5.0,24.8,24.8
24.0,23.0,9.0,32.0,32.0
24.0,23.0,9.0,28.4,28.4
24.0,23.0,9.0,24.8,24.8
24.0,23.0,7.0,32.0,32.0
